Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
CASY,43.54184,43.497384937238486,24.152693078132053,0.624,0.28,0.16873793095765,0,Consumer Staples
CBOE,22.308975,21.87863247863248,24.030746123517336,0.395,1.13,0.19149138,0,Financials
CF,9.251351,9.333333333333334,23.48176777266406,0.382,1.93,0.22380539727,0,Materials
SCHW,18.457254,18.296222664015904,25.80753155845481,0.773,1.39,0.1479505009083,0,Financials
CB,11.736199,11.507430997876856,25.580280713019544,0.421,1.25,0.133155924,0,Financials
CHD,31.633224,30.835526315789473,23.849398167205862,0.47,1.31,0.101965983,0,Consumer Staples
CTVA,43.032433,42.627027027027026,24.698165234140102,0.572,0.91,0.0316541952324,0,Materials
EA,57.971508,57.82621082621083,24.655540653792052,0.645,0.37,0.1056941499999999,0,Communication Services
ELV,16.688902,16.72257518000847,25.17257027748931,0.682,1.74,0.0857743419999999,0,Health Care
EQT,9.79981,9.836812144212525,24.19842015886231,0.543,1.27,0.117615952,0,Energy
FDS,14.177445,14.068211068211069,22.806003827364,0.707,2.12,0.201334196,0,Financials
FOXA,12.875026,12.997368421052633,23.745819212931167,0.519,1.13,0.1295952015199999,0,Communication Services
FOX,11.73158,11.823684210526316,23.652813999321936,0.519,1.25,0.1295952015199999,0,Communication Services
GD,21.927673,21.59496855345912,25.26959303738121,0.341,1.85,0.110845664167,0,Industrials
GPN,23.735292,23.93014705882353,23.594566307092425,0.767,1.54,0.01856094,0,Financials
GL,12.0782,11.90657439446367,23.32975123695061,0.499,0.77,0.188411005,0,Financials
HIG,9.211119,9.113300492610836,24.30347320040801,0.475,1.85,0.191519648424,0,Financials
HUM,38.745735,38.45628997867803,24.49911516958893,0.771,0.98,0.039074163111,0,Health Care
JKHY,17.506285,17.237430167597765,22.909975334762283,0.575,1.93,0.1672244676964002,0,Financials
J,34.79056,35.014749262536874,23.35705642100252,0.683,1.21,0.0572803817701998,0,Industrials
LDOS,9.57914,9.591948764867338,23.30118743815251,0.515,1.64,0.259340499,0,Industrials
LIN,34.35255,34.24188204108682,26.202535452013592,0.732,1.24,0.1085536949999999,0,Materials
