Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
DVN,30216175616,11.682254,11.669064748201437,1.97,0.619,0.23020001,0.17736,0.76979999,0.1365317262264,Energy
DXCM,26025863168,31.928328,32.03349282296651,0.0,1.526,0.0,0.34497002,1.0,0.34497002,Health Care
FANG,54678188032,33.770035,33.54355400696864,2.18,0.569,0.6981,0.03735,0.30189999999999995,0.011275964999999999,Energy
DLR,61658279936,49.09889,48.272980501392766,2.82,1.133,1.3630999,0.05469,-0.3630998999999999,-0.019857933530999995,Real Estate
DG,27488442368,18.230658,18.178102189781022,1.9,0.22,0.3445,0.18992001,0.6555,0.12449256655499999,Consumer Staples
DLTR,21488074752,18.19192,17.83164983164983,0.0,0.692,0.0,0.31693,1.0,0.31693,Consumer Staples
D,52322893824,17.1585,17.112391930835734,4.5,0.67,0.76949996,0.09741,0.23050004000000002,0.0224530088964,Utilities
DPZ,12243103744,20.709045,21.237201365187715,2.13,1.162,0.3961,,0.6039,,Consumer Discretionary
DASH,69464776704,75.07042,73.53990610328638,0.0,1.902,0.0,0.10439,1.0,0.10439,Consumer Discretionary
DOV,29261639680,26.73559,26.236842105263158,0.99,1.249,0.2597,0.15285,0.7403,0.113154855,Industrials
DOW,26021437440,,,4.77,0.71,7.0,-0.13818,-6.0,0.82908,Materials
DHI,40288178176,12.581818,12.101818181818182,1.35,1.407,0.15010001,0.13477,0.8498999899999999,0.1145410216523,Consumer Discretionary
DTE,29646084096,20.242897,20.109375,3.19,0.434,0.6309,0.12177,0.3691,0.044945307,Utilities
DUK,99168583680,20.177214,20.064873417721518,3.36,0.466,0.6688,0.09724,0.33120000000000005,0.032205888,Utilities
DD,18510161920,210.37906,202.0952380952381,1.89,1.115,6.8095,0.0051700003,-5.8095,-0.030035116742849997,Materials
ETN,140420202496,34.596653,34.14354066985646,1.23,1.167,0.39810002,0.21525998,0.60189998,0.1295649776568004,Industrials
EBAY,40598638592,21.084505,20.887323943661976,1.39,1.371,0.2723,0.40847,0.7277,0.297243619,Consumer Discretionary
ECL,73983983616,35.880493,35.23076923076923,1.08,0.979,0.36810002,0.22516,0.63189998,0.1422785994968,Materials
EIX,27289833472,6.1385283,6.038961038961038,5.03,0.777,0.2909,0.24103001,0.7091000000000001,0.17091438009100002,Utilities
EW,47811457024,45.480663,45.58011049723757,0.0,0.934,0.0,0.10353,1.0,0.10353,Health Care
EA,50275971072,75.24344,75.09737827715355,0.38,0.754,0.2846,0.10027,0.7154,0.071733158,Communication Services
ELV,63810134016,11.468465,11.562078540261801,2.36,0.468,0.2713,0.1325,0.7287,0.09655275,Health Care
EME,33325948928,26.398935,25.70673758865248,0.22,1.14,0.0355,0.3849,0.9645,0.37123605000000004,Industrials
EMR,73515376640,32.04412,31.409313725490197,1.73,1.243,0.5239,0.09646,0.47609999999999997,0.045924606,Industrials
ETR,46304620544,26.143223,25.54987212276215,2.48,0.602,0.624,0.10774,0.376,0.04051024,Utilities
EOG,76289286144,15.433579,15.228320526893523,2.94,0.427,0.4326,0.16829,0.5674,0.095487746,Energy
EPAM,7584259072,20.43006,20.450892857142858,0.0,1.768,0.0,0.10335,1.0,0.10335,Information Technology
EQT,41045954560,19.86402,19.537764350453173,1.02,0.722,0.1926,0.09007,0.8074,0.072722518,Energy
